"gene_start_end_direction"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ebh (905874-935588)"	415978.666886084	7.12648569895194	0.127437976840626	55.9212086979717	0	0
"sarU (2039476-2040219)"	47707.2621187926	9.7275699830543	0.23454945249776	41.4734286499653	0	0
"lytN (698053-699171)"	20290.8176652614	7.47440821832437	0.202668522060493	36.8799660762976	9.68148317387701e-298	7.23206793088613e-295
"tarM (475515-476996)"	14056.4920996572	6.63019315724171	0.181540872207819	36.5217654658604	5.0064281539246e-292	2.80485137323626e-289
"DBIAII_02021 (2034376-2038491)"	339542.661082575	9.4507559957062	0.275811927996808	34.265218565223	2.58828417482065e-257	1.16006896715461e-254
"fmhC (699199-700443)"	15498.4218222747	5.61582329738013	0.176119103033238	31.8865086220675	4.10745748163892e-223	1.53413536939214e-220
"efeO (2653647-2654501)"	1876.08932456484	4.02598344197199	0.128837838113769	31.2484554298162	2.3430271152549e-214	7.50103395040889e-212
"sarV (1801240-1801590)"	6863.00862284208	4.15190409408889	0.133053044339296	31.2048785858758	9.14855534302567e-214	2.56273906546507e-211
"DBIAII_00467 (475222-475509)"	2333.03798465021	8.47703040791063	0.277810662295205	30.5136971269405	1.71508840176758e-204	4.27057012040127e-202
"sdrD (63345-67388)"	26453.7666324276	4.80386039030743	0.165697703642812	28.9917137334802	8.36889595733793e-185	1.87546958403943e-182
"efeB (2654498-2655727)"	3410.33341035739	4.23791872905055	0.147739289818916	28.6851164253258	5.8507407465987e-181	1.19195545573888e-178
"sarT (2038796-2039152)"	4596.2700188437	6.69963353318082	0.234481569661949	28.5721114151516	1.49258960885797e-179	2.78741109454227e-177
"DBIAII_02497 (2580244-2580636)"	1619.13900221902	4.5188894469031	0.184014749664505	24.5572132404708	3.6219332019789e-133	6.24365561971901e-131
"DBIAII_02343 (2404401-2405372)"	987.023948366622	3.74136654453777	0.158307474033105	23.6335433142934	1.74288334597649e-123	2.78985827023809e-121
"yut (1817212-1818117)"	1712.75429377184	2.34354664720974	0.103510490207042	22.6406680378209	1.7241089755146e-113	2.57581880941881e-111
"spa (2384323-2385801)"	923235.950701574	8.3889553536205	0.372591301879675	22.515166916939	2.94826314711919e-112	4.12941107043381e-110
"fTR1 (2655708-2657420)"	4795.96825760162	4.03550505736948	0.185793603576207	21.7203659312966	1.31725673159603e-104	1.73645431500394e-102
"ureF (1821273-1821962)"	5740.32710310682	3.81496359254835	0.180211258406458	21.1693965531492	1.82884010965289e-99	2.27690593651785e-97
"hysA (1758739-1761186)"	1904.56562183325	-2.88943390667	0.136750410625179	-21.129252142355	4.28276512774357e-99	5.05140876382808e-97
"ureA (1818377-1818679)"	2552.12423187383	4.99234091493844	0.238814578617077	20.9046740104729	4.85503737034408e-97	5.44006937347054e-95
"gLY1 (780921-781946)"	1532.03173504547	3.07877433564363	0.148146856337062	20.7819079781135	6.31004624574327e-96	6.73372077938603e-94
"ureG (1821975-1822589)"	5849.27234300233	3.34204109199667	0.161091454190374	20.7462345460432	1.32577044227464e-95	1.35047798233521e-93
"ureD (1822589-1823425)"	10766.8486590998	3.37452201181981	0.165984252780895	20.330374449884	6.92718533340551e-92	6.74948797050511e-90
"capA (2235372-2236034)"	853.067364696029	4.02568479665538	0.199088439247339	20.2205854437085	6.45130298747324e-91	6.02390416455313e-89
"DBIAII_00603 (613910-614137)"	2696.58940324739	2.39825450837919	0.120188300109718	19.9541428424386	1.37968585630575e-88	1.23675040159248e-86
"wcaJ (2405335-2406027)"	527.542061482642	4.04832561945836	0.202943606351937	19.9480323240039	1.5590428517842e-88	1.34377501186477e-86
"DBIAII_00998 (1039307-1041193)"	2592.36563095922	-2.54195134874875	0.129270465798246	-19.6638213767714	4.40280089996998e-86	3.65432474697509e-84
"DBIAII_00999 (1041345-1042253)"	1170.82478937752	-3.79573724164715	0.201286674018639	-18.8573697695242	2.55623949446272e-79	2.04590453824677e-77
"ureC (1819100-1820815)"	14791.1450277135	4.27721376638527	0.228429570305667	18.7244311700181	3.12996952772666e-78	2.41871093504671e-76
"fmtB (1702417;1704535-1704477;1709922)"	11185.3486933667	2.94891420551106	0.160540546469721	18.3686568306733	2.34134565903682e-75	1.74898520730051e-73
"DBIAII_02650 (2735571-2736896)"	4244.06430403501	-3.29385228947574	0.181630120953139	-18.1349451962627	1.68867325863039e-73	1.220747345997e-71
"DBIAII_02211 (2251832-2252956)"	8287.35334638677	3.51505343222017	0.196629625711714	17.8765199775832	1.79709915027898e-71	1.25853099867974e-69
